Name/Title/Company,Ph. Number,Web Address/Email,Address,Reason(s) for Contacting,,,,,,,,,,,,,,,,,,,,,,,,
180 Ministries,office: 303-985-1776,https://www.180ministries.net/,"Men: Denver. women;Women with children: 7750 6025 Rd, Olathe CO 81425 970-323-6013","Sober Living, Olathe: women and women with children",,,,,,,,,,,,,,,,,,,,,,,,
A Call to Men,,https://www.acalltomen.org/,"250 Merrick Road #813 Rockville Centre, NY 11570","Helping create a world where all men and boys are loving and respectful and all women, girls, and those at the margins of the margins are valued and safe. Has classes for teachers, men, coaches on their website.",,,,,,,,,,,,,,,,,,,,,,,,
A Little Help,720-242-9032,https://alittlehelp.org/,"Denver, CO",Denver based volunteers help elderly with their getting around to help prevent isolation among the senior community,,,,,,,,,,,,,,,,,,,,,,,,
A Mom's Guide to Survive,info@amomsguidetosurvive.com,https://www.facebook.com/amomsguidetosurvive/,amomsguidetosurvive.com,Resource Database of sorts for moms,,,,,,,,,,,,,,,,,,,,,,,,
A Mom's Guide to Survive,24 hr:970-356-4226,awpdv.org     info@awpdv.org   business: 970-351-0476,"Greeley, CO 80632","24/7 crisis line, emergency shelter, advocacy, case management, legal advocacy, housing advocacy, employment support, counseling, & education",,,,,,,,,,,,,,,,,,,,,,,,
"A Woman’s Place, Inc.",720-734-4348,https://www.abbycare.org/paid-family-caregiving/denver-co,"Aurora, Boulder, Castle Rock, Centennial, C/S, Denver, Evergreen, Ft. Collins, Greeley, Lakewood, Longmont, Loveland, Pueblo, Thornton, Westminster",Medicaid pays for parents of kiddos with disabilities to become certified nurse assisstants and get paid by Medicaid for taking care of their children.,,,,,,,,,,,,,,,,,,,,,,,,
Abby Care,719-246-0170  719-597-5110,alifeunited.org,"76 S Sierra Madre St, Colorado Springs, CO 8903","family preservation, intense family services, supervised visitation, therapeutic visitation, advocacy, life skills-adolescent- intense, youth development project, removal prevention, youth mental health first aid, sexual abuse intervention, child and family therapy, hunger prevention program, divorce and family mediation services",,,,,,,,,,,,,,,,,,,,,,,,
"Abundant Life Community Support Services, LLC",719-301-6106,https://coloradohealthnetwork.org/prevention-health-education/access-point/,"875 W Moreno Ave, Colorado Springs, CO 80905","Harm Reduction Services, syringe access program; multiple locations and limited hours, look at website",,,,,,,,,,,,,,,,,,,,,,,,
Access Point,,https://www.accesswireless.com/?rc=GOG062022&gad_source=1&gclid=CjwKCAiA74G9BhAEEiwA8kNfpePyc45EDYgL07qXo7Ms3AaMcVtp0fhcRDh6FTBJqRyYHsw3qiuLeRoCT0QQAvD_BwE,,Government phone medicaid phone,,,,,,,,,,,,,,,,,,,,,,,,
Access Wireless,800-366-7741,https://patient.accessiahealth.org/application/start,VA,"Provides financ Assis for pres copays, medical expenses, insur premium, specialized ssdi legal services and case management; chronically ill individuals only",,,,,,,,,,,,,,,,,,,,,,,,
Accessia Health,719-373-9703,https://achievewholerecovery.com/,"1115 Elkton Dr, Ste 300, Colorado Springs, CO 80907","MAT and Mental Health Services, detox, takes medicaid, medicare, tricare, private, cash",,,,,,,,,,,,,,,,,,,,,,,,
Achieve Whole Recovery,828-712-3737   achillespikespeak@gmail.com,https://www.achillesinternational.org/pikes-peak,"5262 N Nevada #140, Colorado Springs, CO 80918",people with disabilities recover and network and comfort one another through athletic programs and social connection,,,,,,,,,,,,,,,,,,,,,,,,
Achilles Pikes Peak,303-777-5482,https://www.aclu-co.org/   info@aclu-co.org,Denver,Legal Representation-request for help form is available on their website,,,,,,,,,,,,,,,,,,,,,,,,
ACLU of Colorado,800-949-4232,"https://www.ada.gov/file-a-complaint/#:~:text=You%20can%20reach%20the%20ADA,understand%20emerging%20trends%20and%20topics.",Denver,Phone number for legal questions concerning ADA accomodations,,,,,,,,,,,,,,,,,,,,,,,,
ADA Legal Phone Number,719-528-1846,https://adamandson.com/,"2773 Briargate Blvd, Colorado Springs, CO 80920","Participants in stranded motorist fund, might give discounted repair/maintenance for cars",,,,,,,,,,,,,,,,,,,,,,,,
Adam and Son,719-528-8888,addstaffinc.com,3246 Centennial Blvd Ste 159 80907,"Employment Agency, offers programs and help in the following: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality",,,,,,,,,,,,,,,,,,,,,,,,-
"ADD Staff, Inc.",888-200-4005,adoptuskids.org  info@adoptuskids.org  espanol@adoptuskids.org,No phys address???,National project that supports child welfare systems and connects kids in foster care with families,,,,,,,,,,,,,,,,,,,,,,,,
Adopt Us Kids,719-428-6100,https://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918","Case Management, Life-skills, In-home therapy for adults/seniors with mental health",,,,,,,,,,,,,,,,,,,,,,,,
Adult Community Services,719-444-5755,,,"If an at-risk adult (senior/mentally/physically unable to take care of themselves) is being abused/taken advantage of, call these people)",,,,,,,,,,,,,,,,,,,,,,,,
Adult Protective Services,,http://www.ascasupport.org/events.php,,Support group list for people that have survived childhood abuse,,,,,,,,,,,,,,,,,,,,,,,,
Adult Survivors of Childhood Abuse,(719) 212-1254,https://www.psychologytoday.com/us/groups/adults-molested-as-children-colorado-springs-co/191417, ,Support Group for Men that survived molestation as children-non offending,,,,,,,,,,,,,,,,,,,,,,,,
Adults Molested As Children Group,702-883-5155,hookersforjesus.net        pinkchair.org ,,"Advocacy Services for domestic or sexual violence, human trafficking survivors: one-on-one support; safety plans; education about violence; support groups; financial, legal, and housing options; referrals for additional support services",,,,,,,,,,,,,,,,,,,,,,,,
Advocacy Services,970-945-4439,https://www.advocatesafehouseproject.org/,"Glenwood Springs, CO","24/7 crisis line, emergency shelter, advocacy, legal support, resources, support group, sexual assault nurse examinations, & education, domestic violence services",,,,,,,,,,,,,,,,,,,,,,,,
Advocate Safehouse Project,719-846-6665,http://aadatrinidad.org/,"Trinidad, CO 81082",Social services for domestic violence victims,,,,,,,,,,,,,,,,,,,,,,,,
Advocates Against Domestic Assault,970-725-3412,303-985-1776,https://www.180ministries.net/,Olathe/Denver CO  MEN ONLY; may now have one house for women as well,,,,,,,,,,,,,,,,,,,,,,,,
Advocates for a Violence-Free Community,970-668-3906,719-491-1974,"https://www.voacolorado.org/services/ssvf-southern-colorado/    
 ssvfintake@voacolorado.org","565 Communication Cir, Unit 150, Colorado Springs, CO 80905",,,,,,,,,,,,,,,,,,,,,,,,
Advocates for Victims of Sexual Assault,719-486-3530,https://advocatesoflakecounty.org/,"711 Harrison Ave, Leadville, CO 80461",Lake County Resource Database,,,,,,,,,,,,,,,,,,,,,,,,
Advocates of Lake County,,https://www.facebook.com/amomsguidetosurvive,https://www.facebook.com/amomsguidetosurvive,info@amomsguidetosurvive.com,,,,,,,,,,,,,,,,,,,,,,,,
Advocates Routt County,970-879-8888,970-356-4226   https://advocatesrc.org/," 465 Anglers Dr Ste B, Steamboat Springs, CO 80487","Routt County Resource Database, primarily dv/etc, advocates, anonymous phone line 24/7, safe house",,,,,,,,,,,,,,,,,,,,,,,,
Aerial clinical services,719-260-6110,719-301-2229   Fax: +1-888-302-6356  https://arielcpa.org/,"2145 Academy Cir, Colorado Springs, CO 80909","Adult services: adults with IDD-residential services w/diff levels of support, vocational services, day program, behavioral services, therapy. WAIVERS: HCBS-DD, HCBS-SLS, HCBS-CES. Children resource database.",,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Institute,,https://www.msudenver.edu/innovative-lifelong-learning/professional-development/housing-funding/,214 Cambridge St,"MSU Denver classes used to help tackle housing crisis in Colorado with classes on financing, property management, residential services",,,,,,,,,,,,,,,,,,,,,,,,
